artist,album,name,explicit,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,genre,duration_s
Kendrick Lamar,DAMN. COLLECTORS EDITION.,DNA.,1,1,1,4,0.00454,0.638,0.523,0.0,0.0842,-6.664,0.35700000000000004,139.91299999999998,0.42200000000000004,46,hiphop,185.946
Kendrick Lamar,DAMN. COLLECTORS EDITION.,BLOOD.,1,8,0,4,0.142,0.35700000000000004,0.23800000000000002,0.0859,0.55,-16.78,0.265,156.907,0.494,40,hiphop,118.066
Kendrick Lamar,untitled unmastered.,untitled 01 | 08.19.2014.,1,2,1,4,0.321,0.57,0.584,0.0,0.0868,-11.708,0.405,102.19,0.107,49,hiphop,247.74599999999998
Kendrick Lamar,untitled unmastered.,untitled 02 | 06.23.2014.,1,5,1,3,0.341,0.667,0.508,0.0,0.644,-10.337,0.451,89.436,0.09300000000000001,61,hiphop,258.82599999999996
Kendrick Lamar,untitled unmastered.,untitled 03 | 05.28.2013.,1,5,0,4,0.608,0.813,0.5489999999999999,1e-06,0.129,-12.427,0.26899999999999996,103.914,0.562,53,hiphop,154.346
Kendrick Lamar,untitled unmastered.,untitled 04 | 08.14.2014.,1,4,0,4,0.8640000000000001,0.512,0.128,0.0,0.512,-21.49,0.252,103.056,0.21899999999999997,49,hiphop,110.066
Kendrick Lamar,untitled unmastered.,untitled 05 | 09.21.2014.,1,0,1,4,0.321,0.461,0.62,0.0,0.151,-9.822000000000001,0.496,153.941,0.42200000000000004,52,hiphop,338.426
Kendrick Lamar,untitled unmastered.,untitled 06 | 06.30.2014.,1,4,0,4,0.0992,0.669,0.541,7.69e-06,0.254,-11.290999999999999,0.0461,89.083,0.645,54,hiphop,208.013
Kendrick Lamar,untitled unmastered.,untitled 07 | 2014 - 2016,1,6,0,4,0.732,0.5670000000000001,0.46299999999999997,0.0,0.7090000000000001,-11.669,0.504,126.98200000000001,0.324,59,hiphop,496.173
Kendrick Lamar,untitled unmastered.,untitled 08 | 09.06.2014.,1,11,0,4,0.25,0.85,0.524,2.46e-06,0.114,-9.375,0.204,120.00399999999999,0.6859999999999999,56,hiphop,235.50599999999997
Kendrick Lamar,To Pimp A Butterfly,Wesley's Theory,1,7,1,4,0.359,0.509,0.787,2.7600000000000003e-05,0.26,-6.754,0.265,114.449,0.507,61,hiphop,287.36
Kendrick Lamar,To Pimp A Butterfly,For Free? - Interlude,1,8,1,1,0.588,0.526,0.8959999999999999,0.0,0.37,-4.708,0.19699999999999998,129.313,0.745,56,hiphop,130.893
Kendrick Lamar,To Pimp A Butterfly,King Kunta,1,6,0,4,0.00589,0.884,0.657,0.0,0.154,-4.569,0.0977,107.059,0.489,73,hiphop,234.69299999999998
Kendrick Lamar,To Pimp A Butterfly,Institutionalized,1,3,0,4,0.11199999999999999,0.539,0.731,1.19e-06,0.129,-5.085,0.45299999999999996,81.11399999999999,0.568,59,hiphop,271.77299999999997
